Date,All,O+,O-,B+,B-,A+,A-,AB+,AB-
04/26/19,33,14,0,14,0,3,0,2,0
04/27/19,60,10,0,22,0,19,0,9,0
04/28/19,36,9,0,10,0,15,0,2,0
04/29/19,63,12,0,23,0,23,0,5,0
04/30/19,49,12,1,17,0,14,0,5,0
5/1/2019,33,8,0,8,0,14,0,3,0
5/2/2019,64,12,0,26,0,17,0,9,0
5/3/2019,57,14,0,20,0,17,0,6,0
5/4/2019,58,20,0,13,1,17,0,7,0
5/5/2019,73,21,0,27,0,22,0,3,0
5/6/2019,45,14,0,15,2,9,0,5,0
5/7/2019,44,11,0,20,0,9,0,4,0
5/8/2019,38,14,0,10,0,13,0,1,0
5/9/2019,54,11,0,22,0,18,0,3,0
5/10/2019,38,15,0,7,0,13,0,3,0
5/11/2019,59,11,0,22,0,16,0,10,0
5/12/2019,77,24,0,16,0,25,0,12,0
05/13/19,48,16,0,12,0,18,1,1,0
05/14/19,27,9,0,4,0,9,0,5,0
05/15/19,30,9,0,7,0,9,0,5,0
05/16/19,77,17,0,29,0,26,0,5,0
05/17/19,38,11,0,4,0,19,0,3,1
05/18/19,68,29,0,13,1,20,0,5,0
05/19/19,56,14,0,17,0,17,0,8,0
05/20/19,44,11,0,19,0,11,0,3,0
05/21/19,63,12,0,20,0,23,0,8,0
05/22/19,59,15,0,22,0,18,0,4,0
05/23/19,61,16,0,24,0,18,0,3,0
05/24/19,74,14,0,22,0,28,0,9,1
05/25/19,56,11,0,17,0,26,0,2,0
05/26/19,30,10,0,4,0,12,0,4,0
05/27/19,28,6,0,9,0,11,0,2,0
05/28/19,41,12,0,9,1,14,0,5,0
05/29/19,39,11,0,13,0,11,0,4,0
05/30/19,43,9,1,10,0,20,1,2,0
5/31/2019,38,15,1,8,0,10,2,2,0
6/1/2019,46,12,0,9,0,17,0,8,0
6/2/2019,33,8,0,10,0,13,0,2,0
6/3/2019,45,8,0,18,0,13,0,6,0
6/4/2019,53,17,0,7,0,23,0,6,0
6/5/2019,50,12,0,14,0,15,1,8,0
6/6/2019,55,22,0,16,0,14,0,3,0
6/7/2019,67,13,0,26,0,21,0,7,0
6/8/2019,36,9,0,9,0,14,0,4,0
6/9/2019,42,18,0,15,1,3,0,5,0
6/10/2019,33,8,0,9,0,10,0,6,0
6/11/2019,71,21,0,21,0,18,0,11,0
06/12/19,40,6,0,13,0,15,0,6,0
06/13/19,34,13,0,8,0,9,0,4,0
06/14/19,68,18,0,22,0,21,0,7,0
06/15/19,67,18,1,20,0,16,0,12,0
06/16/19,34,5,0,14,0,10,0,5,0
06/17/19,59,17,1,11,0,23,0,7,0
06/18/19,29,11,0,12,0,5,0,1,0
06/19/19,61,15,0,17,0,20,0,9,0
06/20/19,73,23,0,16,0,27,0,7,0
